,collocate,raw_frequency,MI
1,the,4682,3.9404221375703425
6,and,2771,2.585287308276064
22,of,2488,2.0997463762542514
0,to,2001,1.6756330473449323
3,a,1865,2.1930838594644295
14,I,1579,2.433248318746793
13,in,1187,4.166694136389104
24,that,1048,2.5671153781734124
11,was,963,2.096443919305349
41,we,948,2.1691964201349854
49,with,658,2.679750474420552
28,is,657,1.6915988354187577
7,for,656,1.7005438199588585
56,as,596,1.7993526733809566
52,at,454,2.19791639572854
69,s,385,2.4693811889946784
65,were,380,2.4713823184738177
38,from,361,2.5620499386186766
73,you,303,2.814869791134079
64,said,299,2.794430355968113
74,who,296,2.8486077591767045
26,this,284,2.8786902760328257
48,up,277,2.944353658527754
10,all,248,5.392942347297767
27,It,238,3.1347172368931497
34,one,227,3.2223749611078207
30,an,211,4.304235616590632
29,like,179,5.57403713138523
66,if,171,3.640191259721132
37,great,168,3.6235264607148636
58,old,144,4.888153473353311
57,some,142,4.8915961250386335
44,into,141,3.861152916612453
47,she,140,3.9107256344958783
62,We,138,3.949432563705736
46,when,127,4.058054567274796
54,over,125,4.092051271284522
63,should,111,4.256915098274865
40,though,91,4.546914024286027
68,such,84,4.6589961105194835
67,has,83,4.632113653803862
18,round,83,4.683004343260105
32,each,66,4.980745442920055
53,once,57,5.215981052280201
9,find,53,5.309362496792264
39,another,49,5.290291372302675
12,dark,44,6.565672442071455
17,give,43,5.631518741883535
45,fear,39,5.739808343935032
2,world,39,11.058113174149616
20,better,38,5.802357198612979
21,On,34,5.9696089890651525
36,nearly,31,6.070304089934392
8,cold,31,6.101346854705122
61,whole,24,7.4674313767610965
51,whilst,20,6.728478719072783
70,history,15,7.0850854051619825
16,Only,13,7.356024314308817
23,stars,12,7.432577589460121
25,lies,10,7.729089073628102
35,leaving,10,7.6820041854495225
5,wicked,8,8.057800849914686
55,whatever,7,8.203711021234785
72,gems,6,8.466194141158208
4,sense,6,8.466229007392462
15,richest,6,8.453710321882687
31,measuring,5,8.658852294037194
50,shadows,5,8.683246576528072
19,twice,4,9.056898199909591
42,wreathed,3,9.332428705919757
43,plunge,3,9.47294246478469
71,flood,3,9.47306392347859
60,sculptor,1,11.015129094150645
59,labourer,1,11.018307191759972
33,famed,1,11.018289356820071
