,collocate,raw_frequency,MI
1,the,25571,4.042209895696568
6,and,18361,2.022709017978264
0,to,15531,1.5574783754432975
22,of,14106,2.341513418711261
3,a,12932,2.161835956470652
14,I,9272,1.2549671865820593
13,in,8409,4.380769225184147
11,was,7736,2.5110329250804657
86,he,7115,1.395878675236399
24,that,6642,2.232404651624638
123,it,6199,1.1270626659901444
127,his,5859,0.5184259579652887
87,had,5316,1.3238680076557918
56,as,5289,1.6405708352918122
69,s,5144,1.9894823856117956
47,she,5075,0.7149494239367675
7,for,4995,2.0318833647133596
49,with,4383,2.195288495974036
73,you,4090,1.3188680731081441
279,on,3886,1.1305366260383751
52,at,3726,0.4142865407822105
105,not,3447,0.9703104093726851
79,him,3293,0.6308775657466107
194,t,3082,2.843980891073746
64,said,3078,2.098983039174708
81,but,3007,2.3413149362647316
111,be,2991,1.5086359269784906
28,is,2682,2.1379672952704456
108,have,2565,2.181436468153027
65,were,2439,2.060918991844588
10,all,2232,4.382324352810578
121,me,2121,0.681112075140348
101,by,2025,1.3344486275092458
228,so,2008,2.33374872090166
34,one,1959,1.371890946479507
83,which,1955,3.121536712606166
30,an,1859,2.647103583383576
359,my,1858,-0.12782393465709255
84,He,1819,1.4891153063223097
38,from,1818,0.9035169736990271
148,they,1783,-0.15944199173304568
95,would,1760,2.7591974990391313
66,if,1723,0.9818944249526118
48,up,1721,0.9841883576529697
214,out,1720,-0.022678725661646408
26,this,1694,4.422934002213585
41,we,1650,1.0448771967525639
224,been,1595,0.0856545643573571
140,little,1550,1.6960318342998215
116,The,1547,3.289827061090824
27,It,1540,2.435296998624281
212,there,1487,1.6658148395717867
383,no,1410,0.2712092440592887
46,when,1408,1.255177557823564
315,them,1380,0.20823622972850106
74,who,1322,1.9496508514320512
115,She,1312,2.357652970048938
242,what,1273,1.9532614086831914
342,could,1260,2.0189517873193044
44,into,1209,2.745304174428218
133,Rowland,1199,0.4195197082039142
378,man,1195,0.47099181625443187
361,do,1185,0.5225508886313216
366,But,1125,0.5897973195773086
234,Sylvia,1125,0.5641948300141412
353,down,1096,0.630128533916168
29,like,1084,3.6503476266517847
132,are,1067,0.6403938334092739
190,Philip,1053,0.6922518378419351
107,about,1038,2.2536683704343106
57,some,1014,2.307431061332932
348,before,952,0.8174563412662632
286,will,943,0.8483818298606985
368,can,925,0.8419801565560314
75,than,924,3.1565714362677837
173,did,915,2.8949635027936034
255,only,906,0.8995733564052318
77,know,900,3.497982981527965
218,go,891,1.933935625443174
37,great,865,3.508840555228755
225,come,855,0.9865252167446299
235,never,855,0.9905047019570367
207,ll,825,1.0449719232837649
98,made,821,1.0175428453910333
92,came,812,2.026846223779485
125,You,809,3.0730593179708983
322,good,799,2.0889428200178806
126,And,793,1.1002717621164493
54,over,778,3.935661496465238
88,Roderick,766,1.1511065314845565
58,old,764,4.477699064599574
63,should,758,3.4761711342117243
278,eyes,748,1.172298042113336
287,say,737,1.1618188489745254
192,us,730,2.2085871807181463
227,day,726,1.1966624295682593
67,has,722,3.4992132363408754
176,long,721,1.229095189375358
178,think,706,2.2390532205097124
250,after,701,1.2392243603107838
94,again,692,1.2431302708135001
223,away,678,1.293729144358655
247,himself,675,2.3107785708160513
216,looked,673,1.3374003644832266
217,upon,657,2.3588538245163626
68,such,629,3.42339093119842
153,two,604,1.4871143967450393
185,o,602,3.501094923763536
344,its,558,1.572056145580845
