,collocate,raw_frequency,MI
6,the,9965,4.075494252826694
9,and,6555,1.5693119808146379
3,of,6539,2.608151882474908
14,to,5865,2.310051032335281
1,a,4637,2.403661197201407
52,I,2897,-0.9176006627537648
65,his,2585,0.8164482728808339
17,that,2572,2.7933891742522685
13,in,2449,4.494387081086234
92,it,2335,-0.6090687193032893
46,he,2244,2.257993693965332
88,as,2174,2.2662194323451663
35,was,2156,1.7769309292541817
18,you,2082,2.1439160888250908
16,for,1940,2.8307637130563537
22,with,1833,2.5307250109513757
47,is,1522,2.006520722897434
126,be,1467,1.0638779471586617
139,had,1346,0.155083153086487
143,not,1291,0.24136547489457302
107,at,1260,1.247715444768005
61,her,1100,0.4632813144744746
34,all,1097,4.257053480131169
12,but,978,2.9683755552288633
168,my,919,0.7387444508340157
137,But,825,0.8919090631629891
51,so,814,2.9094167613924657
69,me,801,0.9368019289250906
26,this,785,4.389022945057482
188,they,783,0.877869303463457
44,by,782,0.9717185092092862
86,would,779,1.977256715501665
75,on,753,3.0261877404433695
43,she,660,2.780732045452593
187,are,633,1.2432887304717053
110,will,631,1.2806457866762286
87,do,592,1.3732899408876889
102,And,589,1.379820019453291
128,their,566,1.3460418639577734
122,good,536,2.5147998156769593
182,could,525,1.5465555480218682
135,when,514,2.560880198159351
109,there,502,1.5090568632992913
39,now,502,2.606673052259941
19,The,466,2.702382978232216
192,than,462,1.6927143232124486
58,what,454,3.295581315272571
77,about,444,1.7493428036937342
95,little,435,1.7983892048098642
118,out,433,1.821943243167319
115,like,411,1.8995152970651106
103,even,380,2.01245618456476
24,well,372,3.0402776473392588
31,know,353,3.111126056976412
185,only,338,2.1764996976268045
194,into,337,2.1233565593984296
133,He,314,2.2879174278994716
111,come,310,2.300644061052438
195,some,301,2.332913682296282
177,Dolly,272,2.494636684475976
193,might,262,2.546637168734275
132,then,256,2.490669950908676
200,make,250,2.5832620838146703
160,our,230,2.7372532555722633
59,too,227,2.711450768130889
82,how,213,3.848012467326858
151,right,209,2.8727435541794377
142,ever,206,2.895867865016758
125,done,196,2.951988021220823
181,nothing,196,2.9326630951447505
169,dear,195,2.941846370326541
129,put,190,4.0103037639652195
37,Twemlow,183,3.063672816252386
153,many,182,3.0309996312036147
30,better,179,5.085682966830353
70,quite,178,3.0875345336602296
80,being,176,3.0950778953253186
36,Mr,175,3.131397802641593
197,men,169,3.1758393131657465
42,fine,163,3.216316643355759
186,over,157,3.2877688674749947
45,while,155,3.3063784013747632
0,against,154,4.8412367295021195
28,another,143,3.2673548521452447
38,just,141,4.434487253915785
94,Mrs,138,3.468421555844931
101,What,134,3.4710927111967425
79,Dan,133,3.491807785128847
2,world,133,10.582750379435268
56,CHAPTER,132,3.5376063376663947
144,No,131,3.5493132320258836
33,England,120,3.59099874891566
199,Nelson,114,3.7334788198508875
29,keep,112,3.775140810458917
123,hope,111,3.7880869402988946
176,Miss,109,3.799135633825175
5,let,107,3.8384939750243774
63,answered,106,3.8070040223155037
170,A,102,3.910317964545143
25,went,101,3.9190114584712963
146,nature,99,3.9081391418057776
72,looked,96,3.996464639520956
85,until,92,4.0564415242808325
189,used,89,4.10037437124683
76,Oh,89,4.107009875550241
108,large,89,4.073616988933649
124,Well,88,4.122023838893022
97,between,85,4.1573355370714395
62,understand,85,4.080321237688847
145,power,84,4.187466363022502
161,To,82,4.225191301898555
48,full,81,4.242475940045322
175,hear,81,4.193025856056892
89,does,80,5.251975306022212
84,turned,75,4.350674480170054
134,knows,67,4.501602465963501
71,wrong,64,4.577379133908988
54,present,63,4.597846980530277
67,As,63,4.600319271404997
68,new,61,4.651765469086114
20,bright,61,5.647812702791094
119,turn,61,4.649400777730849
11,weather,59,4.5512168823697605
49,whole,59,6.280351571527621
57,show,59,4.694153825840614
27,began,54,4.781162475840179
23,heavy,53,4.80510183074288
130,together,52,4.735418498744314
64,leave,52,5.848765923358668
81,goes,47,6.606623555098405
141,women,46,5.051948857126067
147,peace,44,5.089897085428903
90,makes,44,5.08327299970316
93,able,43,5.123092903736593
173,making,41,5.173697522865555
106,meet,41,5.216600449052496
83,seems,41,5.217866395327396
50,seem,40,5.253774634568823
157,free,39,5.297086439487105
98,says,39,5.2577095727974275
15,cast,35,5.397201513871018
158,outside,34,5.484132999195474
120,taking,32,5.528894693360318
171,stout,30,5.623376384326385
155,showed,26,5.872929853460739
4,enemies,26,5.877464667099752
127,become,26,5.863652453236346
180,entirely,25,5.935948858250345
163,takes,23,6.017505538646575
105,lively,23,6.0585871014690404
113,smiled,23,6.05358998290016
191,higher,22,6.098730116533517
7,pass,22,6.069727359711328
78,general,19,6.301328802148955
149,compared,17,6.45697873385776
140,added,16,6.54925631559254
166,wide,16,6.582474509910954
121,thinks,16,6.556585282670709
8,easily,15,6.622040806895427
156,mercy,15,6.669870768411803
136,plain,15,6.6247546947832205
116,humble,13,6.882006494476798
104,possessed,13,6.877634977823261
96,lies,13,6.8775427286770725
165,shows,11,7.116946168908688
174,allowance,10,7.2159471277144505
178,ourselves,10,7.254343125536578
179,depend,10,7.26004405554464
40,centuries,9,7.405472071530731
138,busy,9,7.406715618020148
131,defy,8,7.582502806649001
117,grateful,8,7.537152701882396
190,sees,6,7.990853944851007
164,wax,5,8.227632227889492
172,brings,5,8.238577136936248
74,tumble,5,8.257940737929038
150,grumble,5,8.260440297312615
91,wag,4,8.549567560262417
99,challenge,4,8.540841789765379
66,indifference,4,8.55920455804532
148,wealth,4,8.543983919142228
41,enjoying,4,8.564801328923975
10,girt,4,8.580138115293735
60,irked,3,8.997540305927844
167,depression,3,8.98766650055996
159,civilized,3,8.997526157628197
21,quivered,2,9.582085373471179
152,Yesterday,2,9.540783537597223
114,affably,2,9.549567560262417
73,crushed,2,9.555252232689545
154,guides,2,9.578032120168306
196,inspiring,2,9.56074224490645
100,abideth,2,9.546568132943237
184,contained,1,10.523193453457095
55,unwisely,1,10.566919561516167
183,dazzled,1,10.549082568435129
53,hind,1,10.565252429571006
112,cringing,1,10.565202314241747
32,apprised,1,10.533622478071656
198,deprived,1,10.582333017895023
162,prostitute,1,10.558809093269156
