,collocate,raw_frequency,MI
1,the,4918,4.365227937874311
12,and,4388,1.5775580434940373
52,of,3347,2.3132335235009385
32,a,3064,2.048424222009108
8,to,2950,1.2674755103743842
73,I,2454,1.3687946538120264
40,her,2274,0.46046091833155767
4,you,1918,1.7243160098170383
72,she,1876,-0.2708989367284514
0,in,1775,4.261928659804575
75,he,1556,1.0258085005341724
80,it,1443,0.12923902907815518
21,was,1342,-0.8157089238687345
54,that,1154,2.7303891578960133
83,with,1122,2.7976397215381352
169,his,1045,1.168634198757246
47,as,965,2.671153483325859
67,for,952,1.3199147867891305
201,had,917,-0.24574359107908564
11,s,830,2.934474723339419
187,not,791,-0.007786483667151573
70,be,738,1.6869315148978508
115,at,700,2.7230521331662194
7,on,666,0.2503916823046557
17,is,663,3.054878373076218
129,have,635,1.8675632402525195
76,said,625,1.8828002566019113
45,all,624,4.555291850490758
20,She,543,0.5271328984838813
173,He,521,1.6043176325887534
109,t,505,0.649652815891529
25,but,501,3.45989476543181
176,so,448,0.8131347909814104
39,by,440,2.8483879913504233
212,Innocent,435,0.8261516238670014
159,little,432,0.8524655059969289
23,would,416,2.929319159027667
102,You,416,2.5142928319559816
141,one,414,1.9284750024091624
90,my,400,2.5689087182861923
117,no,389,2.0261325321825674
160,or,388,2.034196646163666
183,from,381,2.054076905839539
103,are,375,1.0429021072863518
62,like,360,3.137548224521163
68,which,355,2.1580724904830384
218,were,349,1.1784351420954267
92,old,346,3.1951306495320346
179,your,332,1.2326085716716677
49,Robin,327,1.256485152059479
16,The,312,4.133826121373402
149,will,312,2.3419750041877716
58,this,306,4.797238321445616
22,what,289,2.406101568715636
3,And,288,2.4581011367811283
211,been,278,1.5022118992903861
125,who,270,2.552920935444056
61,know,270,3.5458875367968394
148,never,266,1.5706168571781627
178,about,249,2.626227717581923
84,when,248,3.242673542966512
128,they,234,1.6788470952796601
130,can,230,2.744442504593738
56,It,229,1.7571460527797949
13,then,223,1.748300101145284
14,than,221,4.118065773805772
74,think,220,1.8225510150575392
96,But,219,3.84930755396818
18,good,211,1.9071730134212432
143,we,205,1.949988269905432
87,them,203,1.881688696975713
27,into,195,4.5476624733421644
124,some,187,2.057982753824875
207,must,187,2.065001581348554
164,should,185,2.0890632747734363
29,its,177,4.452660529292787
94,m,175,2.1785812816983574
113,over,173,3.192972792238491
210,face,172,2.1685521174438733
79,see,172,3.193876344097363
34,much,166,2.2527965378373276
2,world,163,9.629803565478298
