,collocate,raw_frequency,MI
1,the,8132,3.526046911551584
13,and,6345,1.1802655973471552
57,to,5556,2.204668463192418
18,of,4581,2.8564957357464746
76,a,4193,1.8142873863588675
15,in,2842,3.373376056029731
17,was,2818,2.319278942630739
8,he,2789,1.9873740219143543
7,as,2538,1.4897976299891207
11,s,2305,2.9994241769748844
46,his,2181,1.7345597840498486
37,she,2067,1.796513694882865
4,had,2041,1.8203001698949324
0,for,2030,1.8607978728959629
52,that,1800,1.979515373779943
16,it,1780,2.0377111317188086
26,t,1469,4.649319612163259
64,with,1273,1.504505182926272
24,him,1204,1.6106789784600053
86,Sylvia,1125,1.679182987486529
43,not,1125,1.6983293884851858
29,be,1124,1.7135321886230745
34,were,1121,1.7144460076486832
14,Philip,1053,1.8059398322368074
65,but,1026,1.8343740478111463
70,said,943,1.9162799214944342
25,all,901,3.997301090847236
77,so,783,2.2180876140271657
85,if,778,2.2426549592456824
20,up,703,2.390695773309085
56,out,692,2.402560835781476
94,one,684,2.418346742012646
71,been,665,2.4619709698769956
33,this,657,5.436733961742302
22,an,651,3.4700926143066315
90,from,650,2.5017266229037003
3,have,639,4.078988394351127
5,o,539,4.777887417626558
48,ll,539,2.7739351896291145
73,into,475,2.8793241905406246
54,there,463,2.8692432172568605
98,what,447,2.990346151659558
38,It,361,4.327760062126943
72,come,348,3.3989990730677317
79,The,334,3.443248850534459
93,than,317,3.48957480000442
27,like,316,5.1273299791039495
62,go,312,3.562667049831707
75,day,275,3.7133034459765892
67,Kester,266,3.764015500944257
69,away,259,3.798114207482721
95,over,256,3.8460816831203473
10,i,243,7.245125789113758
87,never,213,4.11013675521339
42,should,206,4.144455584134988
60,upon,203,5.165739738190388
91,yet,198,4.207438090545483
63,Monkshaven,178,4.303079832715424
59,looked,175,4.395373267946929
89,where,175,4.3493149133030355
6,th,152,6.911159886147443
84,Coulson,147,4.6134962514636815
51,through,143,4.675910956232602
74,every,138,4.7347003595779125
82,poor,138,4.739537428190332
28,may,137,4.7164974823012455
21,us,117,4.960591391734802
61,give,113,5.024326962748614
41,towards,108,5.989351355560041
92,says,79,5.493345440646675
96,death,69,5.68620557781338
83,replied,69,5.73669188220792
49,Why,66,5.803682533023166
47,Thou,61,5.917080863263033
30,white,58,5.963883218257089
44,bright,54,6.079896566371279
2,world,53,11.848084036031494
45,lost,47,6.265213669744278
80,fresh,41,6.4724623509333865
50,missus,40,6.500462355966395
36,continued,36,6.632019707999674
78,sweet,36,6.648167241535995
97,show,33,6.784827489061346
40,especially,19,7.538164845328546
66,Poor,18,7.678114732123084
53,wheere,18,7.656008791529709
58,formed,17,7.7392430256401665
81,wide,16,9.428779878737899
9,rich,15,7.939383315741388
39,goods,13,8.12592888572561
35,Even,13,8.145575418470289
88,uncertain,11,8.321061722855474
19,growing,10,8.500402224255485
55,gasped,5,9.457667383897405
23,seein,5,9.48294110545856
68,melted,5,9.50903548822464
31,waste,5,9.423991939260091
32,sweeping,4,9.805553771211722
12,gear,4,9.816553520988645
