,collocate,raw_frequency,MI
1,the,4622,4.427778952155154
13,to,3825,1.4226659726454787
4,a,3701,2.2542648753212746
14,of,3423,2.241398610909081
0,and,3416,2.8227975808395755
35,I,2705,1.706616061988061
24,he,2101,1.4862275410245995
5,in,1999,4.6438269893023865
3,was,1909,1.8826907657675753
79,that,1835,1.2076970432696328
72,it,1672,1.809228418633921
76,his,1618,-0.15847581820944753
50,you,1585,-0.1071468163577003
25,had,1496,1.5207319657085336
49,with,1209,1.8437200594436467
89,Rowland,1199,0.20725282025677388
84,s,1174,1.9108445690463456
51,she,1150,0.319980210593519
52,at,1022,0.4788211240239638
15,for,1018,1.531587689016687
82,as,910,2.6398631791251796
53,have,902,1.6653921947707697
16,him,895,0.7162986804062731
93,is,816,1.8379801966430338
46,not,791,0.8833498067380422
62,said,778,0.8659595692250465
26,Roderick,766,0.9418227616574817
18,but,717,3.030758242012899
22,He,683,2.1073569931451512
56,be,641,1.1989397620503282
123,an,627,1.1882577607014568
68,me,594,1.3077234317571258
36,would,485,2.6012685980178927
126,one,453,1.690013309151951
28,this,442,4.274039761177869
61,She,422,3.3641470826835316
83,It,416,2.786594152609341
31,all,388,1.8821526425674
63,The,381,3.5115990838973947
20,which,372,4.568870129594207
7,were,370,2.989226427765661
88,are,355,2.0105897779858277
42,by,343,3.10104476891957
74,You,323,3.772670907462473
60,Miss,306,2.244132231527878
97,little,283,2.353719765099634
59,has,273,3.366640697936347
105,they,262,2.4085406889089973
10,know,262,4.0671418723416
125,should,250,2.544632122817004
39,made,244,2.5507294587309373
87,great,243,4.1183557155419095
75,And,239,2.6192121599377822
85,into,227,3.623461766388778
8,than,223,3.6659665129373415
70,some,217,2.7376813942507927
48,about,215,3.7254125560868863
134,n,190,2.953264700338121
138,think,170,3.0832546320827525
81,such,143,4.3505342018361395
133,did,142,3.37335164193056
136,long,128,3.51339139567302
100,What,124,3.510125023460897
111,There,122,3.545964363818885
30,shall,120,4.557722472864619
21,old,118,5.640444938335804
110,two,115,3.6711299666993176
34,again,114,3.6252686862183263
71,over,114,3.6899393796908617
92,That,105,3.7500758161816496
11,better,105,3.7954098714771187
32,came,97,3.8722758543477136
17,done,96,3.9175633397071183
103,This,92,4.960143106123511
2,world,91,10.523131082165303
9,being,80,4.17037632351997
47,people,79,4.21932878691528
6,We,78,5.237707316230134
67,hands,73,4.230505878993551
65,does,71,4.357361376185189
66,My,70,4.393837291724103
106,sort,57,4.667349974126444
140,against,57,4.603810089405006
139,part,55,4.694362584118122
43,artist,53,4.725474561894448
27,added,53,4.75462158597427
91,need,52,4.820621376164977
143,put,51,4.844194675672197
86,called,51,4.80457672503797
54,certainly,49,4.8356403765065465
38,Roman,48,6.884936442551613
116,side,46,4.986767498212774
112,hard,46,4.959124128500372
37,brilliant,42,5.073652558179977
77,strange,39,5.168139781208561
130,hear,37,5.249662944288725
90,smiled,32,5.508382504443287
64,next,32,5.5145514975611505
101,Very,28,5.715754613034778
124,easy,27,5.704521596707645
129,toward,26,5.732320126740386
45,art,25,5.83214441518686
142,makes,23,5.942878721099648
23,observed,22,6.050441245282073
119,interesting,22,6.01920467617787
95,new,22,6.061629475668772
55,comes,21,6.1089511002947745
12,expect,20,6.194691922756331
137,lovely,20,6.200136020684922
109,social,19,6.217986422022812
121,picturesque,19,6.25526480734199
94,immense,18,6.330161738060272
41,lived,18,6.352570306751113
40,Baden,17,6.392961200629919
135,Villa,17,6.394281156512468
144,thrown,15,6.605806461226044
96,narrow,15,6.573666605830111
29,elder,14,6.715679195745188
78,terrible,13,6.816147832573712
107,disappointed,13,6.727345093416855
131,deeply,12,6.937726802114326
117,splendid,10,7.184363136386723
108,Princess,10,7.164144417454056
102,possibly,10,7.188488312591729
141,treat,9,7.294216774078798
104,surely,9,7.339360605328832
128,disagreeable,9,7.289765569243569
19,scanty,8,7.4506334652227775
73,weary,8,7.480368555103323
69,distress,6,7.909508498413117
115,except,6,7.931657516922536
127,outer,6,8.92932886821262
99,Unquestionably,5,8.130301829445074
114,wide,5,8.20110602291543
113,heartless,4,8.436963167679124
57,wearied,4,8.480368555103324
120,winds,4,8.486348830357272
122,Indeed,3,8.905447619562707
132,wounded,2,9.520953201022477
58,mortal,2,9.474887053415163
33,thrill,2,9.515743154004427
118,powerful,2,9.520823718430316
80,surrounds,1,10.508023282536408
44,cleverer,1,10.52148180103066
98,Forget,1,10.51559154329297
