,collocate,raw_frequency,MI
1,the,3695,4.219949410895781
13,and,2331,2.0056784238797385
15,to,1932,1.9336821033425204
48,I,1744,-0.7115659618396748
19,of,1664,1.6780099749097612
28,a,1544,1.0490851212596473
72,you,1192,1.422199452126219
8,in,980,5.073576688075073
6,that,868,2.563593575126426
62,s,825,1.3683487013685327
3,was,789,3.1832117588234574
21,it,757,1.4781547997968243
25,t,735,2.1199417188040006
12,he,725,1.554510220311365
36,his,690,1.6033440547885407
22,for,603,2.4055086136728976
0,with,522,1.9994273883469622
39,as,507,1.0241865688362881
104,said,498,2.04996661013801
68,had,418,2.318966694516255
83,at,415,1.3148587306677355
79,be,372,1.517246660759193
98,but,364,1.5345291947218211
43,is,342,2.622691627274574
75,The,337,1.6456213254008363
96,not,316,1.7351578321695909
5,all,313,5.437147665187962
18,have,276,1.9145962148833053
51,my,270,1.975946507831346
53,do,269,1.9851560003806275
29,Torpenhow,262,2.019668935385474
65,can,231,2.1708961862927802
90,man,219,2.2440886963917532
105,know,205,2.3717676908940697
85,go,186,2.51745955182922
108,would,185,2.5252369024209393
97,there,184,2.415450478826093
66,what,183,3.487577119315368
91,were,182,2.542714831038627
101,no,172,2.630334255799613
27,like,165,2.6900832576214087
73,who,163,2.7077740901988094
17,could,157,4.346921409636101
63,so,153,2.783175868466049
26,about,151,2.768442254535243
42,down,147,2.8497094892251407
93,She,137,2.94421356981935
100,this,131,2.97210130132759
60,But,124,3.088107979395681
34,over,117,3.183095763935904
46,himself,113,3.2081612776475916
88,That,112,3.1959019541827094
80,did,111,4.847126292177622
69,than,108,3.2530407921611966
106,has,107,3.25831160088609
31,before,103,3.3479250899941966
111,here,95,3.461166148501646
54,should,89,3.564654149651752
103,through,78,3.7566870569247226
71,which,78,3.771177438944323
102,because,72,3.8306987970801103
2,world,70,10.056637715113201
107,take,67,4.945497495696292
9,A,64,4.056618362937251
55,ever,63,5.076161165177106
87,Torp,60,4.149224519616977
89,old,59,4.1739753135754105
37,half,58,4.1683250683884365
11,across,52,4.309468857939052
99,enough,52,4.352574618026572
32,This,50,5.376270535425912
24,didn,42,4.662131852123138
86,round,40,4.734651562919209
81,Do,36,4.886480470424912
77,doesn,35,4.905024681609817
78,may,33,4.978092592207839
41,use,32,5.039369516249799
112,end,31,5.102189806188839
74,understand,30,5.034555316531305
23,its,28,5.203712557625868
35,Go,28,5.249224735748967
94,keep,26,5.3559463984346225
14,brought,24,5.456696650916058
110,four,22,5.596393081497561
67,really,19,5.764577311282451
95,hurt,15,6.135394148771281
30,watched,15,6.081570934908855
84,shouldn,14,6.231270169489977
64,One,14,6.24870211482643
76,real,12,6.4382968125840785
52,Because,12,6.42286570722927
38,speaking,12,6.4046347387305556
4,generally,10,6.693486957499325
33,respect,10,6.70095487438327
61,surely,9,6.866660750819986
56,interested,8,7.0025538525167885
57,needed,7,7.248682754859697
47,Half,7,8.218812792309567
16,general,7,7.2186941967643445
40,wide,7,8.833954983877215
92,picking,5,7.715383521946206
7,either,5,7.606463379381685
45,besides,5,7.710314466076208
50,unto,4,8.004019771452338
113,desperately,4,7.9858825871784855
49,wandered,2,8.970948124376092
82,Back,2,9.026404876214476
44,gaping,2,9.006806930126887
59,astonish,2,8.928560673107103
70,poverty,2,9.036664241716823
58,elevating,1,9.983319386583881
20,vice,1,10.056405471867224
109,including,1,10.037507733773214
10,puddle,1,10.056405471867224
