,collocate,raw_frequency,MI
1,the,11746,3.539031459552889
57,and,5297,1.4156332779446064
0,of,5099,3.4886522865740974
77,a,3928,1.5880956834408908
17,to,3495,1.5107099395143604
11,in,3130,3.298054264031982
30,was,2243,2.5577162369190085
74,with,1933,1.2165597812865958
87,her,1657,0.7056428081832002
19,I,1584,0.7829237722131821
114,his,1579,0.18694715691282493
113,he,1374,-0.5968318554240613
15,The,1357,2.579578574350193
39,it,1338,1.0215215553675898
6,is,1292,2.4870642965222016
22,she,1220,1.5583747075621737
7,said,1182,0.582510834330927
35,on,1174,1.2096360241404969
26,And,1089,2.3150207314606424
12,that,1068,3.0424894089492276
199,Kate,932,-0.08243370539809314
42,at,896,0.9821023069567595
150,had,878,1.6013266225715952
95,like,823,2.1425610001676825
21,But,803,3.17312378178613
253,as,793,0.15836507967831442
24,not,759,1.24584181356421
180,they,746,0.1661686930429838
134,from,742,1.8767403207155462
190,for,736,0.3037724773370257
193,were,733,1.8926494540666785
172,n,655,0.47198333696922595
183,He,645,0.49417081219592923
174,be,643,0.49865950606609133
71,all,635,3.653499600709545
171,Ram,633,0.48591513147034754
176,man,624,2.5007652891584358
209,She,610,1.563209819612873
170,men,588,1.618127428446885
152,It,587,1.612007140867603
54,s,582,3.449764386507137
90,are,575,2.211697883046061
13,one,529,1.7649865261184976
260,so,458,0.9833089541556924
58,into,449,3.5350675042268644
192,They,427,1.0664505459632614
23,would,417,3.1234060471446443
131,my,414,1.1335662391158678
156,white,386,1.2187838441524559
224,Cipriano,385,1.194488254482125
89,will,384,2.2421072407516722
111,no,382,1.2444779926661764
81,there,371,3.15751264248877
145,or,342,1.4123077845448158
3,but,320,3.8179117639515465
112,Then,314,1.504340373067123
70,again,307,1.49997569705467
46,your,299,1.5936315753487653
210,could,299,3.603307946391203
249,which,298,1.6081576420443842
223,back,291,1.6095997544969727
107,an,290,2.609004619884595
263,came,288,1.6181815445229322
10,more,284,2.677024785497106
115,own,283,1.6823471662407528
55,two,276,1.71391359656932
80,by,267,1.7666136889017543
137,come,265,2.773444045916268
254,who,263,1.7884154441017364
268,when,245,1.8737244924678458
225,Quetzalcoatl,244,1.8509894924040644
133,then,239,1.8023698982763363
159,old,237,3.5235371433945324
4,Mexico,237,1.9385746426733763
203,went,234,2.944910156532874
105,can,226,2.9662693571903365
167,only,225,3.5832666717068813
136,blood,221,2.0393905190909676
127,must,197,3.7793277248837684
2,world,192,9.827342704234116
72,A,186,2.2881756222860075
83,big,185,2.2959529728777266
121,see,184,3.2989092928367985
82,In,183,4.285117377760844
237,even,183,2.3058665586790603
119,where,180,4.630730587363007
27,seemed,176,2.3572520784105193
173,way,175,2.3432386011327746
128,still,170,2.407284428736443
101,other,169,2.2933877536204417
130,off,169,2.3836531738615605
53,between,162,2.470035331664593
243,about,160,2.4637116798727594
267,So,158,2.523512330305296
233,night,157,2.522371204757299
141,put,157,2.527817304455862
75,has,155,2.506652032965629
78,soft,153,2.5131814227322966
16,made,153,3.5365879453873306
108,another,152,4.730121002557551
157,now,151,2.5803272118430036
201,almost,150,2.5551088784957767
135,new,146,5.801932542982868
18,day,145,3.6145236997419286
184,felt,142,3.6726577375326572
67,look,134,3.7611956169000442
32,make,128,3.7942043070139424
34,going,127,2.8050710118221254
88,here,123,2.8592106916563753
160,just,121,2.897828791898773
265,knew,120,2.91379530896573
244,We,117,3.956961442923141
162,these,115,2.8584855977902333
76,got,115,2.9750545925707548
187,Oh,114,2.9944196064245667
68,let,109,4.054220532260413
241,When,107,4.068887076307412
29,really,107,3.046614062819624
151,gone,106,4.077848604083665
166,saw,103,3.103041608199075
94,yet,99,3.19304823695773
91,beyond,99,4.177352419895219
52,last,97,4.177719196023868
28,how,94,3.2727455817164017
153,love,93,3.287844749795806
186,before,93,4.276399607006606
163,while,91,3.3195149803906117
51,At,90,3.32904051997296
40,This,88,3.3390570583603885
66,To,88,3.3679028147567416
9,once,88,4.352678819595226
275,morning,87,3.3524789678660505
5,small,86,3.357372986398732
41,thought,86,3.3955009244416265
169,For,84,3.4350170106152786
196,soldiers,82,3.458356594339711
73,full,81,3.487269372022718
