,collocate,raw_frequency,MI
1,the,7340,4.230253991843971
0,to,5303,1.9347713179507882
21,and,5023,1.7365220331498323
8,of,4251,3.2980872171234683
48,a,3555,2.0772082950580724
33,I,2653,1.6921284312857618
120,he,2551,1.0706350270806593
114,was,2212,-1.0999084148114526
56,in,2119,3.874099626782478
136,her,2032,1.0553869421200908
9,that,1932,2.275034185968864
6,s,1772,1.5963276841960665
93,you,1771,1.2751721702873555
170,it,1747,0.8738698011830586
19,him,1717,1.318716992502562
43,for,1291,2.3162433312097344
17,had,1290,1.2870587821495743
209,not,1280,1.318982013403076
65,she,1132,-0.11573978649970185
134,be,1061,1.0143618989684433
14,as,1054,1.5636363066475167
18,with,1051,0.007228968795028319
159,Richard,1035,2.019409536765922
54,is,964,3.597159906385841
97,on,961,2.1585966218987274
3,He,952,1.7557155772964208
113,at,916,1.7751659841124874
75,The,867,3.867398019274132
37,have,861,1.8692084925851835
187,said,800,1.3764163680574641
58,me,721,1.570544236074276
98,my,661,2.2808138799910824
31,by,604,2.4120867906971757
80,from,549,2.548674740454209
59,one,538,0.9859912733015687
153,Mrs,532,1.9935174838778218
28,an,526,0.9965631928945536
64,but,526,2.6055979110254284
202,do,488,2.1348502262138935
23,would,486,1.1407750601709992
63,what,480,1.1141669615627139
151,they,476,1.0791781182066917
10,so,475,2.1589099608020734
53,this,451,4.196230666336452
147,all,451,2.2167728060771186
154,Berry,441,1.2807938334024698
89,were,439,3.2836504399256374
94,are,426,1.2997988760126882
208,will,418,1.3563122850580553
119,And,407,3.3945687181409347
203,It,405,1.3753595495506317
35,them,386,1.3800411905336052
241,your,380,1.4796801232135237
210,if,374,2.5186931038891434
62,young,369,2.523005425724748
60,who,366,1.5498877254927375
85,know,365,3.1324031329434745
96,there,351,3.08305453466536
39,out,350,1.6083684783640688
118,see,344,3.209357614960068
146,like,335,2.6775619165090925
179,or,333,2.6889910251375317
217,now,331,1.6913000525718627
81,which,325,2.7212749319673915
245,we,320,1.7436594688894176
100,their,305,1.7212591674639826
162,has,297,2.7966041981937644
237,think,273,1.948791483804415
235,must,267,3.566495225135295
78,more,260,2.0410188936200813
138,old,244,2.1348585880879805
248,little,243,2.119997352341854
42,into,238,3.1009757169243986
233,about,229,2.187199369693647
122,But,224,3.2521826835613914
177,down,216,2.3053720680188787
144,A,214,3.324120577375633
133,dear,205,2.3558996203642284
86,ll,204,2.393170583679371
105,son,202,2.380230424842744
124,upon,197,2.4327757649389827
148,over,197,2.4424482877971525
128,much,196,2.449681472389488
4,made,190,2.464088874485682
49,good,187,3.516709971602347
196,lady,181,2.535576526302992
201,day,179,2.551657866674104
36,might,177,3.5907896061886393
121,shall,177,2.546614228796306
194,don,177,2.585746993610404
55,well,172,3.6349261196857934
109,himself,170,2.625160279406778
103,youth,168,2.6492992195094005
180,some,164,2.6818013325697962
2,world,161,10.06560428747649
127,too,155,2.7382340068033
117,They,154,2.7698649041196015
219,may,150,2.8053138212955386
57,Clare,142,2.8810485125316565
34,m,141,2.9260445732520735
240,after,135,2.9525573770223956
216,knew,122,3.134348425056075
152,Raynham,121,3.113772911207687
171,again,117,4.146408969855228
110,life,112,3.255101897241318
195,That,111,3.2266158185294427
25,took,105,3.298769324394803
218,child,103,3.379078674671009
139,wise,100,4.398610401601517
40,let,94,3.5049655479189368
