,collocate,raw_frequency,MI
1,the,1461,3.5414511600840766
5,of,506,2.9336897579326155
30,a,471,2.0371574911453405
29,he,419,2.205647243556047
0,in,302,4.263183683607313
7,you,301,2.683121063998422
25,that,263,2.833282313347892
24,was,252,3.8926104593897892
10,is,134,4.839008482782141
15,at,128,3.880113294946364
17,be,113,4.096446959796048
28,but,111,4.113168165965293
11,all,109,4.119739244274095
23,He,108,4.161738420047767
6,if,85,4.507349804620422
8,this,81,5.528497707801207
9,what,65,4.84983348961174
19,little,57,5.053158250320157
13,know,57,5.077695065001518
20,shall,45,5.377562793860181
4,about,43,5.447356814715967
16,will,41,5.557637914208922
22,round,37,6.707229966997976
21,see,32,5.905039799920577
27,anything,28,6.049130463223506
12,may,20,6.566112599801304
2,world,13,10.916798146605013
35,also,11,7.415195127800267
14,story,8,7.860669191878099
34,held,6,8.307230005515098
18,lost,6,8.310962271738973
26,dull,3,9.330284885692977
31,vast,2,9.860490134511853
32,resting,2,9.876280806939153
3,immediately,1,10.866803387138347
33,physical,1,10.877461118745877
