,collocate,raw_frequency,MI
1,the,4440,3.7431978405261215
18,and,3498,1.0487721158436014
16,to,2217,0.5095514858657773
21,of,1950,2.6980867854759785
20,a,1629,2.831189513017818
97,I,1429,0.5617497359762713
14,in,1401,3.9119280138812
132,she,1401,-0.43052731668639727
9,was,1257,2.87038297118797
47,that,1091,2.4966007064660793
4,he,859,1.2959941685686132
48,had,812,0.3512322534892079
155,you,746,0.4995238402423053
90,as,738,1.4819172753774887
27,not,723,0.5363304777832757
57,with,721,2.527539396542597
6,for,688,2.6162437350049785
74,on,670,2.97640357530974
12,but,573,2.4615532119761796
23,said,560,2.465025497593638
49,little,514,2.01572242880816
147,him,494,1.0936380070347498
24,Undine,490,1.0836715135473727
34,be,464,2.1845274945795046
10,so,457,3.199285982978853
138,s,455,1.2128329254114845
152,have,395,1.3902988991162413
50,were,386,1.4477854388199056
0,all,382,3.7608272805429572
142,when,378,1.466679778450886
33,would,375,3.4917617043238334
95,is,360,2.543499043838094
116,me,316,1.7382087610168382
45,which,296,3.418001900859719
71,there,293,1.7263316814665095
125,them,278,1.8334319948574795
26,The,272,3.941443488704799
38,who,238,2.1477221737641443
31,only,223,2.2310824724136404
106,great,223,3.20235143658555
28,into,220,2.1994528662904904
119,by,215,2.2943628109080825
73,eyes,215,2.2865744964323746
52,old,190,4.057631105865475
40,this,180,5.106728883258769
102,an,180,3.5248431417245065
94,He,174,2.5995807176265386
69,than,171,2.592217343731688
117,over,166,4.2518811192027055
149,You,158,2.73877491232044
145,came,150,2.7809616737812357
82,will,145,2.8619545776009176
144,know,138,3.9263219293331457
44,Mrs,134,2.9683145153675015
87,lay,129,3.005484990254085
84,white,118,4.150966302138561
19,after,112,3.2056708848516986
60,life,111,3.244566173661822
77,till,109,3.2701355452066863
32,think,108,3.2616486498895623
61,morning,105,3.3054410612741867
109,has,104,3.2969020110272123
143,should,102,3.362942600154037
134,There,101,3.336125696464853
133,good,99,4.4107756118032215
140,seemed,94,3.472888218163686
59,such,91,3.5275416978382266
15,ever,91,3.534194868995245
2,world,87,10.042571383751635
100,through,86,3.612543889199924
5,half,82,3.6590161660563005
83,say,79,3.7056296221087406
3,knew,68,3.9547783181743164
115,When,67,3.9628012666059096
79,us,66,3.990989624551765
36,wish,63,4.052388099944428
96,soon,62,4.063268093299745
89,A,61,4.111818322934656
112,used,60,4.127054476678926
137,God,57,4.2094297769558535
67,dear,57,4.183646137888289
54,fire,57,4.209524129334219
151,shall,57,4.1697956958301
70,because,55,4.218915558969429
39,feel,53,4.314603758912068
13,himself,51,4.354447837094627
157,seen,50,4.389440220700398
113,find,47,5.465736568454924
139,dead,45,5.524795117789317
7,whom,45,6.1313346538417886
146,called,42,4.617446856776041
66,green,41,5.684830688773712
43,wicked,38,6.41795472801275
17,why,34,4.955092819247204
135,nice,30,6.135554997312024
41,evil,29,5.184527494579505
81,nor,27,5.282848775645429
130,wonder,26,5.331289207980158
98,rich,25,5.398668023700543
136,pleasant,24,6.405891321595757
30,whole,24,7.038635226949301
111,ill,23,5.518663476514159
104,cried,22,5.583061147130215
76,darkness,22,5.54888430105911
128,Not,20,5.716044802797234
93,Greenwood,20,5.720281610658885
56,human,19,5.762592554271394
46,new,18,6.872583488264764
78,around,18,7.4303884625063015
58,cruel,18,5.872583488264764
29,ready,16,6.015943679345844
150,shirts,16,6.03169724221382
131,forgot,15,6.117596332735681
62,laughing,15,6.08689371473693
114,flesh,15,6.128461544559251
35,miserable,14,6.195298459723263
42,sad,13,6.308970652144752
11,wide,12,6.457530265046357
72,onto,12,6.407813091215525
53,lies,12,6.449820653665005
129,moonlight,12,6.441608638138506
91,goes,11,6.573500780647
92,Yet,9,6.869057038569616
110,greater,9,6.8296052948124055
55,disagreeable,9,6.833148590626219
8,outside,9,6.855978245121024
65,childish,9,6.857806262594674
85,glittering,8,6.998606639528769
105,sigh,7,7.2280130200679285
51,merry,7,7.22963969540035
108,deck,7,7.235137843709909
123,sandy,6,7.363606126137233
141,larger,6,7.431093286718927
118,enjoy,6,7.457278658703499
75,suffering,5,7.690856964588581
63,dried,5,7.720580394819715
101,informed,4,8.003396747486262
86,frosty,4,8.03169724221382
37,belonged,3,8.436831181488198
154,altogether,3,8.268131911701708
121,seeking,3,8.425782618868686
64,shy,3,8.450421243189062
148,succeed,3,8.450342232534814
156,rocked,2,9.042429868295448
68,inanimate,2,8.977082496877523
88,principle,2,9.020293484790596
158,birth,2,9.038997802261292
25,divine,2,9.020309452549943
120,rush,2,9.034340454694531
127,noisy,1,10.02480532324323
103,unjust,1,10.028430067227688
22,persuasion,1,9.986463245665252
107,machine,1,9.993280039301832
153,renounce,1,10.037546953962178
122,varied,1,10.016664222275011
124,grimy,1,10.03816216564694
126,seething,1,10.00602776865823
80,animate,1,9.999967611547342
99,teeming,1,10.016055787440084
